filename,detected_streaks,proc_time_ms,status
0.fits,3,77.66,OK
1.fits,9,61.54,OK
10.fits,3,59.61,OK
100.fits,2,61.62,OK
1000.fits,0,58.40,OK
1001.fits,5,62.92,OK
1002.fits,4,58.48,OK
1003.fits,2,58.93,OK
1004.fits,3,59.26,OK
1005.fits,5,53.55,OK
1006.fits,4,53.28,OK
1007.fits,4,57.29,OK
1008.fits,7,59.89,OK
1009.fits,2,59.71,OK
101.fits,3,58.12,OK
1010.fits,4,55.06,OK
1011.fits,7,57.72,OK
1012.fits,8,66.36,OK
1013.fits,4,65.42,OK
1014.fits,12,60.24,OK
1015.fits,11,59.79,OK
1016.fits,3,52.39,OK
1017.fits,4,58.29,OK
1018.fits,6,57.28,OK
1019.fits,1,63.24,OK
102.fits,9,65.09,OK
1020.fits,3,57.00,OK
1021.fits,6,62.39,OK
1022.fits,13,63.10,OK
1023.fits,2,52.33,OK
1024.fits,5,63.31,OK
1025.fits,2,59.40,OK
1026.fits,8,64.81,OK
1027.fits,3,69.56,OK
1028.fits,5,59.37,OK
1029.fits,7,60.37,OK
103.fits,10,68.95,OK
1030.fits,2,52.80,OK
1031.fits,2,64.58,OK
1032.fits,8,62.84,OK
1033.fits,2,55.63,OK
1034.fits,5,61.92,OK
1035.fits,3,58.28,OK
1036.fits,3,61.30,OK
1037.fits,4,62.69,OK
1038.fits,9,69.72,OK
1039.fits,3,58.38,OK
104.fits,2,62.93,OK
1040.fits,1,68.09,OK
1041.fits,3,73.06,OK
1042.fits,1,64.09,OK
1043.fits,4,61.17,OK
1044.fits,4,67.98,OK
1045.fits,3,67.95,OK
1046.fits,5,57.19,OK
1047.fits,2,62.37,OK
1048.fits,1,63.69,OK
1049.fits,4,55.81,OK
105.fits,1,59.75,OK
1050.fits,3,62.49,OK
1051.fits,5,61.06,OK
1052.fits,6,59.89,OK
1053.fits,1,64.79,OK
1054.fits,2,68.50,OK
1055.fits,4,58.25,OK
1056.fits,4,59.93,OK
1057.fits,6,65.66,OK
1058.fits,4,76.35,OK
1059.fits,5,73.14,OK
106.fits,6,64.33,OK
1060.fits,7,64.04,OK
1061.fits,7,72.15,OK
1062.fits,4,60.45,OK
1063.fits,5,62.97,OK
1064.fits,6,63.88,OK
1065.fits,2,61.31,OK
1066.fits,3,65.03,OK
1067.fits,4,63.31,OK
1068.fits,4,68.32,OK
1069.fits,4,62.59,OK
107.fits,8,61.64,OK
1070.fits,4,66.09,OK
1071.fits,3,67.90,OK
1072.fits,2,68.77,OK
1073.fits,4,67.96,OK
1074.fits,10,83.91,OK
1075.fits,3,62.55,OK
1076.fits,2,60.35,OK
1077.fits,9,75.80,OK
1078.fits,5,63.66,OK
1079.fits,4,59.92,OK
108.fits,9,65.83,OK
1080.fits,7,64.56,OK
1081.fits,2,53.84,OK
1082.fits,4,68.84,OK
1083.fits,5,58.40,OK
1084.fits,3,66.13,OK
1085.fits,7,69.54,OK
1086.fits,2,70.59,OK
1087.fits,4,60.44,OK
1088.fits,5,70.81,OK
1089.fits,6,67.83,OK
109.fits,3,68.45,OK
1090.fits,3,65.15,OK
1091.fits,4,69.48,OK
1092.fits,2,64.27,OK
1093.fits,5,59.42,OK
1094.fits,0,62.54,OK
1095.fits,6,63.58,OK
